country_code,country_name,hs_code,count
156,China,852351,390
156,China,854190,332
156,China,854150,308
156,China,853710,203
156,China,851762,202
842,USA,852351,358
842,USA,854190,278
842,USA,854150,218
842,USA,851762,208
842,USA,847150,194
276,Germany,852351,366
276,Germany,854190,204
276,Germany,851762,198
276,Germany,853710,197
276,Germany,853650,195
251,France,852351,326
251,France,854190,202
251,France,851762,188
251,France,853650,188
251,France,853690,188
826,United Kingdom,852351,304
826,United Kingdom,854190,212
826,United Kingdom,851762,192
826,United Kingdom,853650,180
826,United Kingdom,853710,180
380,Italy,852351,274
380,Italy,854190,194
380,Italy,853710,174
380,Italy,853890,174
380,Italy,841850,173
528,Netherlands,852351,338
528,Netherlands,851762,206
528,Netherlands,853710,190
528,Netherlands,853650,187
528,Netherlands,853690,185
724,Spain,852351,268
724,Spain,854190,226
724,Spain,853690,176
724,Spain,851762,169
724,Spain,853890,169
792,TÃ¼rkiye,852351,242
792,TÃ¼rkiye,853710,173
792,TÃ¼rkiye,853650,170
792,TÃ¼rkiye,853669,167
792,TÃ¼rkiye,853690,164
699,India,852351,224
699,India,853690,178
699,India,853650,173
699,India,854190,172
699,India,854150,170
