metal,hs_code,description
silver,261610,Silver ores and concentrates
silver,261690,Precious metal ores and concentrates: (excluding silver)
silver,284321,Silver compounds: silver nitrates
silver,284329,Silver compounds: excluding silver nitrates
silver,370232,"Photographic film: in rolls, with silver halide emulsion, sensitised, unexposed, without sprocket holes, of a width not exceeding 105mm (other than of paper, paperboard or textiles)"
silver,370239,"Photographic film: in rolls, (other than with silver halide emulsion and for colour photography), sensitised, unexposed, without sprocket holes, of a width not exceeding 105mm (other than of paper, paperboard or textiles)"
silver,710610,Metals: silver powder
silver,710691,"Metals: silver, unwrought, (but not powder)"
silver,710692,"Metals: silver, semi-manufactured"
silver,710700,Base metals clad with silver: not further worked than semi-manufactured
silver,710900,"Base metals or silver: clad with gold, not further worked than semi-manufactured"
silver,711100,"Base metals, silver or gold, clad with platinum: not further worked than semi-manufactured"
silver,711311,"Jewellery: of silver, whether or not plated or clad with other precious metal, and parts thereof"
silver,711319,"Jewellery: of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof"
silver,711411,"Silversmiths' wares: and parts thereof, of silver, whether or not plated or clad with other precious metal"
silver,711419,"Goldsmiths' wares: articles of and parts thereof, of precious metal (excluding silver) whether or not plated or clad with precious metal"
silver,740822,"Copper: wire, of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver)"
silver,740940,"Copper: plates, sheets and strip, of a thickness exceeding 0.15mm, of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver)"
silver,741122,"Copper: tubes and pipes, of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver)"
silver,741129,"Copper: tubes and pipes, of copper alloys (other than copper-zinc, copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel-silver))"
silver,850640,"Cells and batteries: primary, silver oxide"
silver,850680,"Cells and batteries: primary, (other than manganese dioxide, mercuric oxide, silver oxide, lithium or air-zinc)"
silver,911120,"Watch cases: of base metal, whether or not gold-plated or silver-plated"
silver,911320,"Watch straps, watch bands, watch bracelets, and parts thereof: of base metal, whether or not gold- or silver-plated"
